"rua","bairro","posicao","lat","long","horarios"
"AV. MANOEL ATHAYDE","Santa Cruz","Em FRENTE POSTO JANAUBA",-15.829557,-43.296421,"6:30<br/>9:15<br/>11:30<br/>14:15<br/>16:30<br/>18:30<br/>"
"AV. MANOEL ATHAYDE","Santa Cruz","Em FRENTE POSTO DE SAUDE",-15.828332,43.296976,"6:40<br/>9:25<br/>11:40<br/>14:25<br/>16:40<br/>18:40<br/>"
"AV. MANOEL ATHAYDE","Santa Cruz","Em FRENTE  2315",-15.826710,-43.297985,"6:50<br/>9:35<br/>11:50<br/>14:35<br/>16:50<br/>18:50<br/>"
"AV. MANOEL ATHAYDE","Santa Cruz","Em FRENTE  GARAGEM DA TRANSNORTE",-15.824958,-43.298836,"7:00<br/>9:45<br/>12:00<br/>14:45<br/>17:00<br/>19:00<br/>"
"AV. MANOEL ATHAYDE","Santo Antonio","Em FRENTE  DROGA FARMA",-15.822084,-43.300325,"7:10<br/>9:55<br/>12:10<br/>14:55<br/>17:10<br/>19:10<br/>"
"AV. MANOEL ATHAYDE"," Santo Antonio","Em FRENTE  DROGARIA GORUTUBA",-15.81867900,-43.301953,"7:20<br/>10:05<br/>12:20<br/>15:05<br/>17:20<br/>19:20<br/>"
"AV. MANOEL ATHAYDE","Sao Goncalo","Em FRENTE PROJETA",-15.81555300,-43.303565,"7:30<br/>10:15<br/>12:30<br/>15:15<br/>17:30<br/>19:30<br/>"
"AV. MANOEL ATHAYDE","Sao Goncalo","Em FRENTE PARAGOMINAS",-15.81367200,-43.304513,"7:40<br/>10:25<br/>12:40<br/>15:25<br/>17:40<br/>19:40<br/>"
"AV. MANOEL ATHAYDE","Sao Goncalo","Em FRENTE  A SPUMEL",-15.811681,-43.305583,"7:50<br/>10:35<br/>12:50<br/>15:35<br/>17:50<br/>19:50<br/>"
"AV. MANOEL ATHAYDE","Centro","Em FRENTE  CORPUS E PERFUMARIA",-15.809997,-43.306316,"8:00<br/>10:45<br/>13:00<br/>15:45<br/>18:00<br/>20:00<br/>"
"RUA SAO PEDRO","Sao Goncalo","Em FRENTE  CENTRO CULTURAL MARLY SARNEI",-15.808900,-43.304692,"8:10<br/>10:55<br/>13:00<br/>15:55<br/>18:10<br/>20:10<br/>"
"RUA SAO PEDRO","Sao Goncalo","Em FRENTE  PORTAO PEQUENO DO BRETAS",-15.807051,-43.302008,"8:20<br/>11:00<br/>13:10<br/>16:05<br/>18:20<br/>20:20<br/>"
"AV. EDILSON BRANDAO (Beira Rio)","Centro","Em FRENTE  MERCADO MUNICIPAL.",-15.805893,-43.303419,"8:30<br/>11:10<br/>13:20<br/>16:15<br/>18:30<br/>20:30<br/>"
"AV. MARECHAL DEODORO","Centro","Em FRENTE  HOTEL SERRA GERAL",-15.804726,-43.305650,"8:40<br/>11:20<br/>13:30<br/>16:25<br/>18:40<br/>20:40<br/>"
"AV. MARECHAL DEODORO","Centro","Em FRENTE  CARLOS FERREACO",-15.806451,-43.307389,"8:50<br/>11:30<br/>13:40<br/>16:35<br/>18:50<br/>20:50<br/>"
"AV. CORMERCIO","Centro","AO LADO BANCO NORDESTE",-15.801417,-43.309565,"9:00<br/>11:40<br/>13:50<br/>16:45<br/>19:00<br/>21:00<br/>"
"PRACA DR. ROCKERTE","Centro","Em FRENTE  LAVA RAPIDO NUMERO 242",-15.798161,-43.307511,"9:10<br/>11:50<br/>14:00<br/>16:55<br/>19:10<br/>21:10<br/>"
"AV. BRASIL","Centro","Em FRENTE  CONSTRUAI REI DAS TINTAS",-15.798798,-43.308772,"9:20<br/>12:00<br/>14:10<br/>17:05<br/>19:20<br/>21:20<br/>"
"RUA BELO HORIZONTE","Padre Eustaquio","Em FRENTE  A PADARIA DO VEJA",-15.800203,-43.310423,"9:30<br/>12:10<br/>14:20<br/>17:15<br/>19:30<br/>21:30<br/>"
"RUA BELO HORIZONTE ","Padre Eustaquio","NUMERO 400",-15.798972,-43.312825,"9:40<br/>12:20<br/>14:30<br/>17:25<br/>19:40<br/>21:40<br/>"
"RUA BARAO DO RIO BRANCO","Padre Eustaquio","NUMERO 537",-15.798552,-43.312783,"9:50<br/>12:30<br/>14:40<br/>17:35<br/>19:50<br/>21:50<br/>"
"AV MESTRE ALFREDO BARBOSA ","Padre Eustaquio","NUMERO 76",-15.796972,-43.312266,"10:00<br/>12:40<br/>14:50<br/>17:45<br/>20:00<br/>22:00<br/>"
"AV MESTRE ALFREDO BARBOSA","Padre Eustaquio","NUMERO 192",-15.795030,-43.312196,"10:10<br/>12:50<br/>15:00<br/>17:55<br/>20:10<br/>22:10<br/>"
"AV MESTRE ALFREDO BARBOSA","Rio Novo","NUMERO 430",-15.795483,-43.315067,"10:20<br/>13:00<br/>15:10<br/>18:05<br/>20:20<br/>22:20<br/>"
